Kebangsaan,2019,2020,2021,2022
Brunei Darussalam,19278,2701,144,4798
Malaysia,2980753,980118,480723,1212574
Filipina,260980,50413,9375,78436
Singapura,1934445,280492,18704,736797
Thailand,136699,21303,3992,61128
Vietnam,96024,19608,2008,68067
Myanmar,46381,12669,3093,22637
Asean Lainnya,682630,154143,10187,223661
TOTAL ASEAN,6157190,1521447,528226,2408098
Hong Kong,50324,2625,2432,7086
India,657300,111724,6670,281814
Jepang,519623,92228,5952,73913
Korea Selatan,388316,75562,9497,122221
Pakistan,14663,4110,974,5247
Bangladesh,59777,12866,1001,9593
Sri Lanka,28907,4300,620,3447
Taiwan,207490,35680,1398,25750
Tionghoa,2072079,239768,54713,169378
Timor Leste,1178381,994590,819488,703780
Asia Lainnya,68062,18584,2096,24159
TOTAL ASIA (Excl. ASEAN),5244922,1529037,904841,1426388
Saudi Arabia,157512,31906,2053,47472
Bahrain,2631,373,35,894
Kuwait,5762,846,75,2216
Mesir,21354,4337,611,7326
Uni Emirat Arab,9065,1093,384,5456
Yaman,9221,2094,758,3208
Qatar,1989,225,43,840
Timur Tengah Lainnya,56389,8907,1680,14422
TOTAL TIMUR TENGAH,263923,49781,5639,81834
Austria,28476,4858,2103,17708
Belgia,46780,5902,798,21120
Denmark,45090,10533,557,20913
Perancis,283814,43438,3776,134541
Jerman,277653,46361,3429,128634
Italia,91229,13260,2339,47415
Belanda,215287,53495,12229,115052
Spanyol,83373,11829,3255,51563
Portugal,35434,6245,476,14393
Swedia,56402,17600,3516,19885
Swiss,57484,8362,782,23192
Inggris,397624,69997,5177,170881
Finlandia,22665,6376,240,5480
Norwegia,23886,5072,336,10069
Eropa Barat Lainnya,35272,6269,374,18468
Rusia,158943,67491,8392,75578
Eropa Timur Lainnya,216452,64091,8127,85518
TOTAL EROPA,2075864,441179,55906,960410
Amerika Serikat,457832,91782,21962,188764
Kanada,103616,23200,1242,36042
Amerika Tengah,2786,529,87,717
Amerika Selatan,65630,15142,1450,27434
Amerika Lainnya,19039,3419,332,7138
TOTAL AMERIKA,648903,134072,25073,260095
Australia,1386803,256291,3196,655370
Selandia Baru,149010,19947,482,44125
Papua Nugini,78433,20975,31703,22509
Oceania Lainnya,2987,573,123,520
TOTAL OCEANIA,1617233,297786,35504,722524
Afrika Selatan,47657,7350,572,13267
Afrika Lainnya,51262,9271,1769,16415
TOTAL AFRICA,98919,16621,2341,29682
GRAND TOTAL,16106954,4052923,1557530,5889031
,,,,
